Тип населенного пункта,Health,Housing Quality,Leisure Time,Life,Living Condition,Professional Wellbeing,Financial Situation
Город,3,3,8,5,6,5,5
Село,3,3,8,5,9,89,8
Город,3,3,8,6,6,8,6
Город,3,3,8,7,4,8,7
Село,3,3,8,7,6,8,5
Село,3,3,8,7,8,6,9
Село,3,3,8,7,8,9,7
Село,3,3,8,7,9,89,5
Село,3,3,8,9,7,7,7
Город,3,3,9,4,3,3,89
Село,3,3,9,7,7,8,5
Город,3,3,9,8,1,5,4
Город,3,3,9,9,5,6,8
Село,3,3,10,4,5,10,4
Село,3,3,10,4,9,89,6
Город,3,3,10,6,5,89,4
Село,3,3,10,10,10,4,7
Город,3,3,89,8,8,6,5
Город,3,3,89,10,7,10,5
Город,3,4,2,10,10,10,10
Село,3,4,3,5,7,89,5
Город,3,4,4,5,7,6,1
Село,3,4,4,6,6,4,5
Село,3,4,4,6,10,9,7
Город,3,4,4,7,9,9,4
Село,3,4,4,8,8,8,8
Город,3,4,4,10,5,10,89
Село,3,4,5,5,4,10,8
Город,3,4,5,6,7,8,7
Город,3,4,5,7,6,8,89
Город,3,4,5,7,7,8,6
Село,3,4,5,9,10,8,6
Село,3,4,5,10,7,5,9
Город,3,4,6,7,6,7,89
Село,3,4,6,8,8,8,5
Город,3,4,6,10,9,8,6
Село,3,4,6,10,9,89,8
Село,3,4,6,10,10,4,9
Село,3,4,7,4,9,10,4
Город,3,4,7,5,6,6,5
Город,3,4,7,5,6,7,5
Город,3,4,7,6,5,7,7
Город,3,4,7,7,6,8,8
Село,3,4,7,7,7,7,7
Город,3,4,7,7,7,8,7
Город,3,4,7,7,7,89,7
Город,3,4,7,7,10,10,4
Село,3,4,7,8,7,9,7
Село,3,4,7,8,8,8,6
Город,3,4,7,8,10,8,4
Село,3,4,7,10,5,7,7
Село,3,4,7,10,6,89,6
Город,3,4,8,5,4,89,89
Село,3,4,8,5,6,10,5
Село,3,4,8,7,5,8,7
Село,3,4,8,7,9,9,6
Село,3,4,8,8,8,8,8
Город,3,4,8,9,6,6,4
Город,3,4,8,10,6,8,4
Село,3,4,8,10,8,8,10
Город,3,4,9,4,9,89,7
Город,3,4,9,5,8,6,4
Город,3,4,9,6,10,10,2
Село,3,4,9,8,7,89,9
Село,3,4,9,8,8,8,9
Город,3,4,9,9,8,5,7
Город,3,4,9,9,8,10,4
Город,3,4,9,10,9,7,6
Город,3,4,9,10,9,8,8
Село,3,4,10,5,10,5,5
Город,3,4,10,5,10,10,4
Город,3,4,10,6,5,8,7
Село,3,4,10,7,6,4,7
Город,3,4,10,7,7,9,6
Село,3,4,10,8,5,6,7
Село,3,4,10,8,7,8,6
Село,3,4,10,9,3,10,10
Город,3,4,10,9,6,6,4
Село,3,4,10,9,9,10,89
Город,3,4,10,9,9,89,8
Село,3,4,10,10,5,6,9
Город,3,4,10,10,8,1,4
Село,3,4,10,10,10,10,7
Село,3,4,89,7,10,10,4
Город,3,4,89,9,10,5,89
Село,3,5,1,6,9,89,89
Город,3,5,1,7,9,9,7
Село,3,5,3,9,3,9,6
Село,3,5,4,5,4,6,7
Город,3,5,4,6,8,7,5
Село,3,5,4,8,7,10,4
Город,3,5,4,8,8,6,5
Город,3,5,4,9,9,7,5
Город,3,5,4,9,9,89,5
Город,3,5,4,9,9,89,7
Город,3,5,4,10,9,10,4
Село,3,5,5,6,7,8,6
Город,3,5,5,7,5,4,9
Село,3,5,5,7,7,9,7
Город,3,5,5,9,5,5,4
Село,3,5,5,9,6,89,7
Село,3,5,5,9,7,7,7
Город,3,5,5,10,6,5,6
Город,3,5,5,10,7,9,9
Село,3,5,5,89,10,10,5
Город,3,5,6,5,8,8,7
Село,3,5,6,6,8,5,4
Село,3,5,6,6,8,5,5
Село,3,5,6,6,9,8,9
Село,3,5,6,6,10,9,10
Село,3,5,6,7,7,89,10
Село,3,5,6,7,9,9,9
Село,3,5,6,8,8,7,6
Село,3,5,6,8,8,10,7
Город,3,5,6,9,5,89,5
Город,3,5,6,9,9,5,5
Город,3,5,6,9,9,7,7
Город,3,5,6,9,9,8,8
Город,3,5,6,10,3,10,10
Город,3,5,6,10,5,7,6
Город,3,5,6,10,5,7,7
Город,3,5,6,10,7,7,6
Село,3,5,7,3,10,5,3
Село,3,5,7,5,5,10,7
Город,3,5,7,5,7,6,6
Село,3,5,7,6,9,8,10
Село,3,5,7,7,5,8,7
Село,3,5,7,7,8,10,9
Город,3,5,7,8,3,8,4
Село,3,5,7,8,6,5,6
Село,3,5,7,8,7,89,9
Село,3,5,7,8,8,9,8
Город,3,5,7,8,10,89,4
Село,3,5,7,9,6,9,7
Село,3,5,7,9,10,1,4
Город,3,5,7,10,7,8,4
Город,3,5,7,10,7,10,9
Село,3,5,7,10,10,89,7
Город,3,5,8,6,6,5,7
Город,3,5,8,6,6,6,89
Село,3,5,8,6,6,9,5
Село,3,5,8,6,6,10,5
Город,3,5,8,6,6,89,89
Село,3,5,8,6,7,89,5
Село,3,5,8,6,9,8,6
Село,3,5,8,7,7,6,5
Город,3,5,8,7,7,89,6
Город,3,5,8,7,9,8,5
Село,3,5,8,7,10,7,5
Город,3,5,8,7,10,7,6
Село,3,5,8,7,10,89,6
Город,3,5,8,8,5,10,6
Город,3,5,8,8,8,8,8
Город,3,5,8,8,9,9,4
Город,3,5,8,8,9,9,10
Село,3,5,8,9,7,7,7
Село,3,5,8,9,7,89,9
Село,3,5,8,9,8,8,8
Город,3,5,8,9,8,8,10
Село,3,5,8,9,9,89,8
Село,3,5,8,10,7,9,8
Село,3,5,8,10,7,89,6
Город,3,5,8,10,9,10,4
Город,3,5,9,6,5,89,10
Село,3,5,9,9,10,10,89
Город,3,5,9,10,8,9,10
Село,3,5,9,10,9,10,10
Город,3,5,9,10,10,5,10
Село,3,5,9,10,10,9,9
Город,3,5,10,4,5,10,4
Село,3,5,10,5,10,3,7
Город,3,5,10,5,10,10,4
Город,3,5,10,6,7,6,89
Город,3,5,10,6,7,8,6
Город,3,5,10,7,6,8,6
Город,3,5,10,7,9,6,4
Город,3,5,10,7,9,7,8
Село,3,5,10,8,7,8,10
Город,3,5,10,8,8,89,9
Село,3,5,10,8,9,9,7
Село,3,5,10,9,6,3,5
Город,3,5,10,9,7,7,7
Город,3,5,10,9,7,89,5
Село,3,5,10,9,8,8,89
Город,3,5,10,9,8,9,8
Село,3,5,10,9,8,10,5
Город,3,5,10,10,4,7,4
Село,3,5,10,10,7,9,5
Город,3,5,10,10,10,4,5
Город,3,6,1,6,10,6,6
Город,3,6,1,10,10,4,89
Село,3,6,2,7,7,3,10
Город,3,6,2,7,7,8,5
Город,3,6,3,7,8,5,4
Город,3,6,3,7,8,7,6
Село,3,6,4,5,7,7,8
Город,3,6,4,6,7,5,5
Село,3,6,4,6,7,6,5
Село,3,6,4,6,7,7,4
Город,3,6,4,6,9,10,1
Село,3,6,4,7,8,8,6
Город,3,6,4,7,9,7,5
Город,3,6,4,8,6,8,8
Село,3,6,4,8,8,7,9
Город,3,6,4,8,8,89,6
Село,3,6,4,9,3,8,9
Село,3,6,4,9,9,9,10
Город,3,6,4,9,10,6,5
Село,3,6,4,10,10,10,5
Село,3,6,5,4,6,8,6
Город,3,6,5,4,7,6,89
Село,3,6,5,4,89,4,5
Город,3,6,5,5,7,7,6
Город,3,6,5,5,8,8,5
Город,3,6,5,6,6,6,3
Село,3,6,5,6,9,89,4
Село,3,6,5,7,7,7,89
Город,3,6,5,7,7,9,7
Город,3,6,5,7,7,9,8
Город,3,6,5,7,7,10,5
Село,3,6,5,7,9,7,7
Город,3,6,5,7,9,7,8
Город,3,6,5,7,9,89,7
Город,3,6,5,9,9,8,9
Село,3,6,5,10,9,89,6
Город,3,6,6,5,7,8,4
Город,3,6,6,5,10,89,9
Город,3,6,6,6,3,5,89
Село,3,6,6,6,7,7,7
Село,3,6,6,7,7,10,6
Село,3,6,6,7,8,7,9
Село,3,6,6,7,8,9,9
Город,3,6,6,7,8,10,6
Город,3,6,6,7,8,89,7
Город,3,6,6,7,9,8,7
Город,3,6,6,8,7,6,10
Село,3,6,6,8,8,6,6
Город,3,6,6,8,8,6,89
Село,3,6,6,8,8,10,9
Город,3,6,6,10,7,8,6
Село,3,6,6,10,7,10,5
Село,3,6,6,10,8,7,7
Город,3,6,6,10,9,6,4
Город,3,6,7,3,89,89,5
Город,3,6,7,4,7,8,6
Село,3,6,7,4,10,10,4
Село,3,6,7,5,6,9,7
Село,3,6,7,5,7,4,7
Село,3,6,7,5,9,10,4
Село,3,6,7,6,5,89,1
Село,3,6,7,6,7,9,9
Город,3,6,7,6,9,8,6
Город,3,6,7,6,10,5,7
Село,3,6,7,7,8,8,7
Село,3,6,7,7,8,89,10
Город,3,6,7,7,9,7,10
Город,3,6,7,7,9,8,5
Город,3,6,7,7,10,8,6
Село,3,6,7,8,8,7,10
Город,3,6,7,8,8,8,5
Город,3,6,7,8,8,10,6
Город,3,6,7,8,8,89,7
Город,3,6,7,8,8,89,8
Город,3,6,7,8,10,6,7
Село,3,6,7,9,3,8,10
Город,3,6,7,9,6,6,7
Село,3,6,7,9,7,9,5
Село,3,6,7,9,8,8,8
Город,3,6,7,9,8,8,9
Город,3,6,7,9,8,10,7
Село,3,6,7,9,8,89,7
Город,3,6,7,9,9,10,7
Город,3,6,7,9,9,10,10
Село,3,6,7,10,6,89,6
Город,3,6,7,10,8,7,7
Село,3,6,7,10,9,10,4
Село,3,6,7,10,10,7,5
Город,3,6,8,4,7,7,7
Город,3,6,8,5,8,8,6
Село,3,6,8,5,10,9,9
Село,3,6,8,6,4,5,5
Село,3,6,8,6,7,8,5
Село,3,6,8,6,8,7,8
Город,3,6,8,6,9,6,9
Село,3,6,8,7,5,6,9
Село,3,6,8,7,6,9,5
Село,3,6,8,7,8,9,5
Город,3,6,8,7,9,89,7
Село,3,6,8,8,5,6,5
Село,3,6,8,8,6,6,9
Село,3,6,8,8,6,8,5
Город,3,6,8,8,6,9,7
Город,3,6,8,8,7,8,6
Село,3,6,8,8,7,8,9
Село,3,6,8,8,7,89,4
Село,3,6,8,8,8,8,8
Город,3,6,8,8,8,10,6
Село,3,6,8,8,8,89,6
Село,3,6,8,8,8,89,8
Город,3,6,8,8,9,5,5
Село,3,6,8,8,9,10,4
Город,3,6,8,9,3,5,7
Город,3,6,8,9,3,9,8
Село,3,6,8,9,5,8,9
Село,3,6,8,9,8,5,8
Город,3,6,8,9,8,8,9
Село,3,6,8,10,5,8,8
Село,3,6,8,10,6,8,5
Город,3,6,8,10,7,8,2
Город,3,6,8,10,7,89,10
Город,3,6,8,10,9,5,10
Город,3,6,8,10,9,9,3
Село,3,6,8,10,10,89,89
Село,3,6,9,6,6,10,89
Село,3,6,9,6,7,10,6
Село,3,6,9,7,7,5,8
Город,3,6,9,7,7,8,7
Город,3,6,9,7,7,89,7
Город,3,6,9,7,8,8,4
Село,3,6,9,7,8,8,7
Село,3,6,9,7,9,6,6
Город,3,6,9,7,9,89,8
Село,3,6,9,8,8,8,6
Город,3,6,9,8,8,9,7
Город,3,6,9,8,9,10,7
Город,3,6,9,8,9,10,8
Город,3,6,9,9,5,3,10
Город,3,6,9,10,8,8,6
Город,3,6,10,4,6,6,89
Село,3,6,10,4,7,6,6
Город,3,6,10,4,7,10,4
Село,3,6,10,4,10,89,6
Город,3,6,10,5,6,7,89
Село,3,6,10,5,7,6,89
Село,3,6,10,5,8,89,6
Село,3,6,10,5,9,3,7
Город,3,6,10,6,6,89,89
Село,3,6,10,6,7,8,7
Город,3,6,10,6,8,8,9
Город,3,6,10,7,7,89,6
Село,3,6,10,7,8,8,7
Село,3,6,10,7,8,89,7
Село,3,6,10,7,8,89,8
Село,3,6,10,7,9,8,7
Город,3,6,10,7,10,89,6
Город,3,6,10,8,5,10,10
Город,3,6,10,8,7,8,7
Город,3,6,10,8,8,6,8
Город,3,6,10,8,9,89,8
Город,3,6,10,8,10,6,6
Село,3,6,10,9,10,8,7
Село,3,6,10,10,7,4,7
Село,3,6,10,10,10,89,10
Село,3,6,89,10,10,89,4
Село,3,7,1,5,3,89,10
Село,3,7,1,8,8,89,9
Город,3,7,1,9,7,89,6
Город,3,7,1,10,5,10,9
Село,3,7,2,10,7,10,9
Город,3,7,2,10,8,9,89
Село,3,7,3,5,7,9,6
Город,3,7,3,8,10,89,5
Город,3,7,4,5,7,8,5
Город,3,7,4,6,4,9,7
Город,3,7,4,6,7,6,6
Город,3,7,4,8,7,5,9
Город,3,7,4,8,8,8,8
Город,3,7,4,8,8,89,10
Село,3,7,4,9,7,7,5
Город,3,7,4,9,7,10,5
Город,3,7,4,9,8,10,4
Город,3,7,5,2,6,5,5
Город,3,7,5,4,7,5,6
Город,3,7,5,5,9,89,7
Город,3,7,5,6,5,8,7
Город,3,7,5,6,6,7,7
Село,3,7,5,6,7,9,9
Город,3,7,5,7,4,7,6
Город,3,7,5,7,5,9,10
Село,3,7,5,7,6,7,8
Село,3,7,5,7,6,9,6
Город,3,7,5,7,7,8,7
Город,3,7,5,7,8,9,7
Город,3,7,5,7,8,10,9
Село,3,7,5,7,9,89,9
Город,3,7,5,9,8,10,6
Село,3,7,5,10,5,4,5
Село,3,7,5,10,6,7,4
Село,3,7,5,10,8,10,9
Город,3,7,5,10,8,89,7
Город,3,7,5,10,9,8,7
Село,3,7,5,10,10,9,6
Город,3,7,6,4,7,5,4
Город,3,7,6,4,8,6,7
