Территория/Регион,Health,Housing Quality,Leisure Time,Life,Living Condition,Professional Wellbeing,Financial Situation
Мангистауская область,1,8,7,7,8,9,9
Алматинская область,1,8,7,7,8,10,7
Алматинская область,1,8,7,8,10,9,7
Карагандинская область,1,8,7,9,8,8,6
г. Алматы,1,8,7,10,9,9,8
г. Шымкент,1,8,8,5,4,7,6
Алматинская область,1,8,8,6,4,9,7
Карагандинская область,1,8,8,6,9,8,9
Западно - Казахстанская область,1,8,8,7,8,8,4
Западно - Казахстанская область,1,8,8,7,8,89,7
Северо-Казахстанская область,1,8,8,7,9,6,6
Павлодарская область,1,8,8,8,8,8,8
Карагандинская область,1,8,8,8,9,9,8
Северо-Казахстанская область,1,8,8,8,9,10,8
Северо-Казахстанская область,1,8,8,9,8,9,5
Карагандинская область,1,8,8,10,8,8,4
Западно - Казахстанская область,1,8,8,10,8,9,6
Костанайская область,1,8,9,6,8,4,7
Кызылординская область,1,8,9,6,8,8,4
г. Астана,1,8,9,7,6,8,4
г. Алматы,1,8,9,7,9,9,5
Атырауская область,1,8,9,8,7,8,7
Жамбылская область,1,8,9,8,9,89,6
Павлодарская область,1,8,9,9,6,4,8
г. Алматы,1,8,9,9,8,89,10
Павлодарская область,1,8,9,9,9,7,8
Жамбылская область,1,8,10,4,8,89,7
Актюбинская область,1,8,10,6,3,5,7
Западно - Казахстанская область,1,8,10,8,7,8,5
Павлодарская область,1,8,10,9,8,8,7
Мангистауская область,1,8,10,9,10,89,4
Западно - Казахстанская область,1,8,89,5,9,8,8
Жамбылская область,1,9,2,10,5,5,8
Жамбылская область,1,9,3,5,10,10,9
Западно - Казахстанская область,1,9,4,10,10,10,5
Костанайская область,1,9,5,5,7,89,7
Кызылординская область,1,9,5,7,7,6,7
Жамбылская область,1,9,5,7,7,10,9
Северо-Казахстанская область,1,9,5,7,7,89,4
Актюбинская область,1,9,5,7,8,8,7
Жамбылская область,1,9,6,7,7,10,8
Павлодарская область,1,9,6,7,10,8,5
Северо-Казахстанская область,1,9,6,10,8,10,10
Восточно-Казахстанская область,1,9,6,10,9,8,8
Акмолинская область,1,9,7,4,9,10,5
г. Шымкент,1,9,7,8,9,10,7
г. Шымкент,1,9,8,4,10,10,4
Северо-Казахстанская область,1,9,8,5,10,8,4
Жамбылская область,1,9,8,6,7,8,8
Костанайская область,1,9,8,6,7,89,4
Костанайская область,1,9,8,8,8,8,5
г. Алматы,1,9,8,9,6,7,8
Жамбылская область,1,9,8,9,8,5,7
г. Алматы,1,9,8,10,5,5,4
Восточно-Казахстанская область,1,9,8,10,7,89,8
г. Астана,1,9,9,4,7,89,4
Мангистауская область,1,9,9,5,7,7,8
г. Астана,1,9,10,5,9,9,5
Акмолинская область,1,9,10,7,9,7,7
Восточно-Казахстанская область,1,9,10,7,9,89,8
Акмолинская область,1,9,10,9,10,10,89
Восточно-Казахстанская область,1,9,10,10,4,10,10
г. Шымкент,1,9,10,10,7,6,10
г. Шымкент,1,9,10,10,9,9,6
Атырауская область,1,9,10,10,10,2,2
Северо-Казахстанская область,1,9,89,6,10,5,4
Костанайская область,1,10,1,10,10,10,4
Жамбылская область,1,10,4,7,10,9,7
Туркестанская область,1,10,5,8,8,9,9
Актюбинская область,1,10,5,8,8,89,6
г. Астана,1,10,5,8,10,8,8
г. Алматы,1,10,5,9,3,8,9
г. Алматы,1,10,6,10,10,7,5
Жамбылская область,1,10,7,3,10,3,2
Карагандинская область,1,10,7,6,8,8,7
Жамбылская область,1,10,7,7,9,7,7
Костанайская область,1,10,7,8,8,8,7
Западно - Казахстанская область,1,10,7,10,10,8,9
Восточно-Казахстанская область,1,10,8,7,8,7,6
г. Алматы,1,10,8,7,9,10,6
Северо-Казахстанская область,1,10,8,8,7,9,9
Павлодарская область,1,10,8,9,8,9,6
Атырауская область,1,10,8,10,10,9,10
г. Алматы,1,10,9,6,8,9,8
Западно - Казахстанская область,1,10,9,7,5,6,8
Жамбылская область,1,10,9,10,7,8,8
г. Астана,1,10,10,3,10,4,9
Восточно-Казахстанская область,1,10,10,8,8,9,7
Жамбылская область,1,10,10,89,10,4,89
г. Алматы,1,10,89,10,10,10,10
Костанайская область,1,89,8,6,9,9,7
Западно - Казахстанская область,2,1,7,7,4,8,4
Северо-Казахстанская область,2,3,6,89,9,10,4
Актюбинская область,2,3,7,10,3,9,10
Туркестанская область,2,3,8,6,10,7,9
г. Алматы,2,3,8,8,7,10,7
Восточно-Казахстанская область,2,3,8,8,8,5,7
г. Алматы,2,3,9,9,9,89,5
г. Шымкент,2,3,9,10,10,10,7
Костанайская область,2,3,10,8,9,3,5
Акмолинская область,2,3,10,9,8,89,7
Абайская область,2,3,10,10,2,1,89
Павлодарская область,2,4,5,4,10,3,1
Актюбинская область,2,4,6,7,10,10,7
Восточно-Казахстанская область,2,4,8,7,8,9,6
Алматинская область,2,4,9,5,9,7,8
Туркестанская область,2,4,9,7,9,5,7
Восточно-Казахстанская область,2,4,9,7,10,6,7
Карагандинская область,2,4,9,8,7,8,5
Кызылординская область,2,4,10,6,9,89,7
Северо-Казахстанская область,2,5,5,10,4,8,7
Жетісу область,2,5,5,10,10,9,6
Костанайская область,2,5,6,9,8,9,5
Павлодарская область,2,5,6,10,6,8,7
Мангистауская область,2,5,7,8,3,6,6
г. Алматы,2,5,8,5,5,7,7
Кызылординская область,2,5,8,7,9,5,7
Акмолинская область,2,5,9,7,8,5,6
Восточно-Казахстанская область,2,5,9,9,9,2,4
Западно - Казахстанская область,2,5,10,4,6,6,5
Туркестанская область,2,5,10,10,5,9,9
Жамбылская область,2,5,10,10,7,89,8
Акмолинская область,2,6,4,4,7,6,89
Павлодарская область,2,6,4,9,4,9,4
Актюбинская область,2,6,5,4,7,89,6
Жамбылская область,2,6,5,7,9,10,5
Акмолинская область,2,6,6,6,6,89,5
Мангистауская область,2,6,6,6,9,3,1
Восточно-Казахстанская область,2,6,6,10,9,9,9
Акмолинская область,2,6,7,6,10,7,6
Восточно-Казахстанская область,2,6,7,8,9,8,5
Мангистауская область,2,6,7,9,8,89,7
Жамбылская область,2,6,7,10,7,4,8
Кызылординская область,2,6,7,10,10,5,5
Костанайская область,2,6,8,6,8,7,6
г. Астана,2,6,8,7,4,8,5
г. Шымкент,2,6,8,7,8,89,9
Карагандинская область,2,6,8,8,7,89,8
Туркестанская область,2,6,8,8,8,10,7
Туркестанская область,2,6,8,8,10,7,89
Павлодарская область,2,6,9,8,8,89,8
Павлодарская область,2,6,10,7,8,7,6
Атырауская область,2,6,10,8,8,10,9
Жамбылская область,2,6,10,10,9,10,4
Алматинская область,2,6,89,7,10,8,10
Карагандинская область,2,7,3,8,7,8,5
Атырауская область,2,7,4,7,6,89,5
г. Шымкент,2,7,4,7,10,89,7
Абайская область,2,7,5,4,6,10,4
Актюбинская область,2,7,5,7,8,89,7
Актюбинская область,2,7,5,9,8,8,6
Жетісу область,2,7,6,4,10,10,10
Туркестанская область,2,7,6,5,8,8,89
Акмолинская область,2,7,6,10,6,89,6
Мангистауская область,2,7,7,6,9,89,10
Северо-Казахстанская область,2,7,7,7,9,89,10
Туркестанская область,2,7,7,9,8,8,8
Карагандинская область,2,7,8,7,5,5,6
Павлодарская область,2,7,8,7,8,89,9
Акмолинская область,2,7,8,7,10,7,10
Алматинская область,2,7,8,8,5,8,7
Акмолинская область,2,7,8,8,7,9,10
Акмолинская область,2,7,8,9,9,10,9
г. Алматы,2,7,9,5,6,6,4
Актюбинская область,2,7,9,7,7,8,7
Кызылординская область,2,7,9,8,8,8,8
Актюбинская область,2,7,9,8,9,10,8
Карагандинская область,2,7,9,9,7,7,6
Акмолинская область,2,7,10,6,6,7,89
Акмолинская область,2,7,10,6,9,6,5
Туркестанская область,2,7,10,7,7,6,7
Карагандинская область,2,7,10,7,8,9,8
Павлодарская область,2,7,10,7,8,10,6
Акмолинская область,2,7,10,8,8,10,10
Акмолинская область,2,7,10,8,8,89,8
Жамбылская область,2,7,10,9,10,5,10
Северо-Казахстанская область,2,7,10,10,6,7,8
Мангистауская область,2,7,10,10,8,8,9
Павлодарская область,2,7,10,10,9,4,8
г. Алматы,2,7,89,10,7,89,7
Северо-Казахстанская область,2,8,1,6,7,10,7
Акмолинская область,2,8,1,7,9,7,5
Туркестанская область,2,8,1,8,8,7,8
Актюбинская область,2,8,3,6,4,89,5
Туркестанская область,2,8,4,5,10,8,5
г. Астана,2,8,4,6,5,8,7
г. Шымкент,2,8,4,8,7,8,6
Жамбылская область,2,8,4,8,8,89,8
Восточно-Казахстанская область,2,8,4,9,8,10,8
Алматинская область,2,8,5,6,6,6,6
г. Шымкент,2,8,5,7,6,6,6
Актюбинская область,2,8,5,8,8,10,6
Восточно-Казахстанская область,2,8,5,10,7,8,10
г. Шымкент,2,8,6,4,6,6,5
Актюбинская область,2,8,6,7,7,4,4
Актюбинская область,2,8,6,7,7,8,5
Павлодарская область,2,8,6,7,7,89,8
Западно - Казахстанская область,2,8,6,7,8,8,7
Карагандинская область,2,8,6,7,10,9,5
Восточно-Казахстанская область,2,8,6,8,8,4,8
Акмолинская область,2,8,6,8,9,8,4
Жамбылская область,2,8,6,10,8,8,8
Актюбинская область,2,8,6,10,8,9,7
Акмолинская область,2,8,6,10,10,9,7
Костанайская область,2,8,7,4,4,89,4
Алматинская область,2,8,7,4,9,10,10
Северо-Казахстанская область,2,8,7,6,7,7,5
Западно - Казахстанская область,2,8,7,7,5,8,7
Восточно-Казахстанская область,2,8,7,7,9,8,8
Атырауская область,2,8,7,8,9,8,8
Павлодарская область,2,8,7,8,9,10,5
Акмолинская область,2,8,7,9,7,8,7
Жамбылская область,2,8,7,10,8,9,7
Жамбылская область,2,8,8,5,7,89,89
Актюбинская область,2,8,8,5,8,8,7
Акмолинская область,2,8,8,6,7,7,5
Павлодарская область,2,8,8,7,5,9,7
Восточно-Казахстанская область,2,8,8,7,5,89,7
Алматинская область,2,8,8,7,8,8,6
Северо-Казахстанская область,2,8,8,7,8,9,7
Жамбылская область,2,8,8,7,8,10,9
Карагандинская область,2,8,8,7,9,7,6
Алматинская область,2,8,8,7,9,7,9
Актюбинская область,2,8,8,7,9,89,7
Туркестанская область,2,8,8,7,9,89,7
Карагандинская область,2,8,8,8,3,7,9
Мангистауская область,2,8,8,8,5,10,9
Карагандинская область,2,8,8,8,7,7,6
г. Астана,2,8,8,8,8,8,5
Алматинская область,2,8,8,8,8,9,10
г. Астана,2,8,8,8,9,7,7
Павлодарская область,2,8,8,9,8,8,8
Жамбылская область,2,8,8,9,8,9,5
Атырауская область,2,8,8,9,8,10,10
Павлодарская область,2,8,8,9,10,89,7
Атырауская область,2,8,8,10,4,8,8
Павлодарская область,2,8,8,10,5,7,6
Павлодарская область,2,8,8,10,6,10,6
Атырауская область,2,8,8,10,8,10,8
Мангистауская область,2,8,9,6,5,89,5
Алматинская область,2,8,9,6,9,10,10
Акмолинская область,2,8,9,7,10,89,5
Восточно-Казахстанская область,2,8,9,8,5,9,8
Акмолинская область,2,8,9,9,8,10,7
Алматинская область,2,8,10,5,7,5,4
Актюбинская область,2,8,10,7,8,9,8
Туркестанская область,2,8,10,7,10,10,8
Акмолинская область,2,8,10,8,9,8,7
Жамбылская область,2,8,10,9,8,10,10
Кызылординская область,2,8,10,10,6,5,6
Восточно-Казахстанская область,2,8,89,4,8,7,4
Карагандинская область,2,9,3,4,8,10,9
г. Алматы,2,9,5,5,10,89,5
г. Шымкент,2,9,5,6,9,9,5
Жамбылская область,2,9,5,8,5,4,7
Западно - Казахстанская область,2,9,5,8,6,8,89
Туркестанская область,2,9,5,9,9,10,8
Жетісу область,2,9,5,9,9,89,4
г. Астана,2,9,6,9,9,89,4
Мангистауская область,2,9,7,4,9,8,7
Павлодарская область,2,9,7,6,7,89,9
Акмолинская область,2,9,7,6,8,89,9
г. Астана,2,9,7,7,9,89,7
Кызылординская область,2,9,7,8,7,8,9
Кызылординская область,2,9,7,9,9,5,4
Восточно-Казахстанская область,2,9,7,9,10,10,7
г. Астана,2,9,8,5,9,89,5
Кызылординская область,2,9,8,7,7,8,7
Восточно-Казахстанская область,2,9,8,7,9,9,8
Туркестанская область,2,9,8,9,7,6,6
Актюбинская область,2,9,8,10,8,8,9
Жамбылская область,2,9,9,6,10,89,7
Костанайская область,2,9,9,7,8,6,7
Алматинская область,2,9,9,10,10,6,4
Жамбылская область,2,9,10,6,8,8,8
Ұлытау область,2,9,10,6,9,4,5
Атырауская область,2,9,10,7,9,10,9
Карагандинская область,2,9,10,9,10,4,5
Мангистауская область,2,9,89,8,8,10,9
Карагандинская область,2,10,4,6,10,8,8
Карагандинская область,2,10,4,9,1,89,9
Мангистауская область,2,10,4,9,8,9,7
Кызылординская область,2,10,5,4,10,4,10
Акмолинская область,2,10,5,7,6,9,4
Туркестанская область,2,10,5,10,8,6,7
Атырауская область,2,10,6,10,9,8,4
Актюбинская область,2,10,7,7,8,5,6
г. Алматы,2,10,7,8,8,5,8
г. Астана,2,10,7,8,8,7,8
Акмолинская область,2,10,7,8,8,8,7
Северо-Казахстанская область,2,10,7,9,6,10,9
г. Алматы,2,10,7,9,8,9,7
г. Шымкент,2,10,7,9,10,3,9
Алматинская область,2,10,7,10,10,3,10
Карагандинская область,2,10,8,7,7,7,6
Туркестанская область,2,10,8,8,10,8,6
Западно - Казахстанская область,2,10,8,9,9,8,8
Карагандинская область,2,10,8,10,8,8,5
Кызылординская область,2,10,8,10,9,8,6
г. Шымкент,2,10,8,10,9,8,89
Акмолинская область,2,10,9,8,9,9,8
Атырауская область,2,10,9,9,9,7,8
Кызылординская область,2,10,9,10,8,10,5
Карагандинская область,2,10,10,8,7,9,8
г. Алматы,2,10,10,10,4,7,7
г. Астана,2,10,10,10,10,8,9
Карагандинская область,2,89,4,5,9,9,9
г. Алматы,2,89,7,6,9,10,89
Мангистауская область,2,89,8,9,8,7,4
Восточно-Казахстанская область,2,89,9,9,9,5,7
г. Алматы,3,1,5,5,3,10,3
Карагандинская область,3,1,5,10,9,10,7
Северо-Казахстанская область,3,1,8,6,6,10,10
Северо-Казахстанская область,3,1,8,7,10,8,8
Жамбылская область,3,1,10,3,10,10,4
Западно - Казахстанская область,3,1,10,7,7,10,7
Карагандинская область,3,2,3,9,7,89,8
г. Шымкент,3,2,4,10,89,4,6
Жамбылская область,3,2,5,10,10,4,4
Костанайская область,3,2,7,8,9,6,6
Кызылординская область,3,2,8,9,9,8,6
г. Алматы,3,2,9,10,9,6,10
Северо-Казахстанская область,3,3,5,6,8,8,7
Туркестанская область,3,3,5,7,4,10,5
Карагандинская область,3,3,5,10,10,10,10
г. Астана,3,3,6,6,7,7,7
Карагандинская область,3,3,6,6,9,8,8
Восточно-Казахстанская область,3,3,7,6,7,10,8
Туркестанская область,3,3,7,8,5,8,8
Алматинская область,3,3,7,9,89,8,8
Западно - Казахстанская область,3,3,7,10,9,10,89
Павлодарская область,3,3,7,10,10,10,9
г. Алматы,3,3,8,5,6,5,5
Западно - Казахстанская область,3,3,8,5,9,89,8
Акмолинская область,3,3,8,6,6,8,6
г. Алматы,3,3,8,7,4,8,7
Мангистауская область,3,3,8,7,6,8,5
Алматинская область,3,3,8,7,8,6,9
Кызылординская область,3,3,8,7,8,9,7
Актюбинская область,3,3,8,7,9,89,5
Западно - Казахстанская область,3,3,8,9,7,7,7
Мангистауская область,3,3,9,4,3,3,89
Костанайская область,3,3,9,7,7,8,5
Алматинская область,3,3,9,8,1,5,4
Карагандинская область,3,3,9,9,5,6,8
Жетісу область,3,3,10,4,5,10,4
Карагандинская область,3,3,10,4,9,89,6
Актюбинская область,3,3,10,6,5,89,4
Атырауская область,3,3,10,10,10,4,7
Акмолинская область,3,3,89,8,8,6,5
Павлодарская область,3,3,89,10,7,10,5
г. Шымкент,3,4,2,10,10,10,10
Северо-Казахстанская область,3,4,3,5,7,89,5
Костанайская область,3,4,4,5,7,6,1
Акмолинская область,3,4,4,6,6,4,5
Кызылординская область,3,4,4,6,10,9,7
г. Астана,3,4,4,7,9,9,4
г. Алматы,3,4,4,8,8,8,8
Карагандинская область,3,4,4,10,5,10,89
Мангистауская область,3,4,5,5,4,10,8
Алматинская область,3,4,5,6,7,8,7
Восточно-Казахстанская область,3,4,5,7,6,8,89
Западно - Казахстанская область,3,4,5,7,7,8,6
Акмолинская область,3,4,5,9,10,8,6
Карагандинская область,3,4,5,10,7,5,9
Акмолинская область,3,4,6,7,6,7,89
Западно - Казахстанская область,3,4,6,8,8,8,5
г. Астана,3,4,6,10,9,8,6
Павлодарская область,3,4,6,10,9,89,8
Павлодарская область,3,4,6,10,10,4,9
Акмолинская область,3,4,7,4,9,10,4
г. Шымкент,3,4,7,5,6,6,5
Жамбылская область,3,4,7,5,6,7,5
г. Шымкент,3,4,7,6,5,7,7
г. Алматы,3,4,7,7,6,8,8
Атырауская область,3,4,7,7,7,7,7
Павлодарская область,3,4,7,7,7,8,7
Костанайская область,3,4,7,7,7,89,7
Западно - Казахстанская область,3,4,7,7,10,10,4
Алматинская область,3,4,7,8,7,9,7
Костанайская область,3,4,7,8,8,8,6
Западно - Казахстанская область,3,4,7,8,10,8,4
Жамбылская область,3,4,7,10,5,7,7
Акмолинская область,3,4,7,10,6,89,6
Карагандинская область,3,4,8,5,4,89,89
Алматинская область,3,4,8,5,6,10,5
Северо-Казахстанская область,3,4,8,7,5,8,7
Туркестанская область,3,4,8,7,9,9,6
Жамбылская область,3,4,8,8,8,8,8
г. Алматы,3,4,8,9,6,6,4
Мангистауская область,3,4,8,10,6,8,4
Атырауская область,3,4,8,10,8,8,10
Костанайская область,3,4,9,4,9,89,7
г. Алматы,3,4,9,5,8,6,4
Восточно-Казахстанская область,3,4,9,6,10,10,2
Акмолинская область,3,4,9,8,7,89,9
Карагандинская область,3,4,9,8,8,8,9
Кызылординская область,3,4,9,9,8,5,7
Туркестанская область,3,4,9,9,8,10,4
Карагандинская область,3,4,9,10,9,7,6
Восточно-Казахстанская область,3,4,9,10,9,8,8
Восточно-Казахстанская область,3,4,10,5,10,5,5
Алматинская область,3,4,10,5,10,10,4
Туркестанская область,3,4,10,6,5,8,7
Жамбылская область,3,4,10,7,6,4,7
г. Алматы,3,4,10,7,7,9,6
Восточно-Казахстанская область,3,4,10,8,5,6,7
Павлодарская область,3,4,10,8,7,8,6
Кызылординская область,3,4,10,9,3,10,10
Мангистауская область,3,4,10,9,6,6,4
Костанайская область,3,4,10,9,9,10,89
Алматинская область,3,4,10,9,9,89,8
Кызылординская область,3,4,10,10,5,6,9
Карагандинская область,3,4,10,10,8,1,4
Карагандинская область,3,4,10,10,10,10,7
г. Астана,3,4,89,7,10,10,4
Кызылординская область,3,4,89,9,10,5,89
г. Шымкент,3,5,1,6,9,89,89
Жамбылская область,3,5,1,7,9,9,7
Атырауская область,3,5,3,9,3,9,6
Северо-Казахстанская область,3,5,4,5,4,6,7
Северо-Казахстанская область,3,5,4,6,8,7,5
Павлодарская область,3,5,4,8,7,10,4
Мангистауская область,3,5,4,8,8,6,5
Кызылординская область,3,5,4,9,9,7,5
г. Шымкент,3,5,4,9,9,89,5
Западно - Казахстанская область,3,5,4,9,9,89,7
г. Астана,3,5,4,10,9,10,4
Акмолинская область,3,5,5,6,7,8,6
г. Алматы,3,5,5,7,5,4,9
Костанайская область,3,5,5,7,7,9,7
Костанайская область,3,5,5,9,5,5,4
г. Алматы,3,5,5,9,6,89,7
Костанайская область,3,5,5,9,7,7,7
Восточно-Казахстанская область,3,5,5,10,6,5,6
Восточно-Казахстанская область,3,5,5,10,7,9,9
Ұлытау область,3,5,5,89,10,10,5
Костанайская область,3,5,6,5,8,8,7
Западно - Казахстанская область,3,5,6,6,8,5,4
Кызылординская область,3,5,6,6,8,5,5
Актюбинская область,3,5,6,6,9,8,9
Павлодарская область,3,5,6,6,10,9,10
Актюбинская область,3,5,6,7,7,89,10
Западно - Казахстанская область,3,5,6,7,9,9,9
Атырауская область,3,5,6,8,8,7,6
Атырауская область,3,5,6,8,8,10,7
Жамбылская область,3,5,6,9,5,89,5
Костанайская область,3,5,6,9,9,5,5
Мангистауская область,3,5,6,9,9,7,7
Павлодарская область,3,5,6,9,9,8,8
Актюбинская область,3,5,6,10,3,10,10
г. Алматы,3,5,6,10,5,7,6
г. Шымкент,3,5,6,10,5,7,7
Акмолинская область,3,5,6,10,7,7,6
Актюбинская область,3,5,7,3,10,5,3
Западно - Казахстанская область,3,5,7,5,5,10,7
Акмолинская область,3,5,7,5,7,6,6
Алматинская область,3,5,7,6,9,8,10
Алматинская область,3,5,7,7,5,8,7
Кызылординская область,3,5,7,7,8,10,9
Костанайская область,3,5,7,8,3,8,4
Западно - Казахстанская область,3,5,7,8,6,5,6
Актюбинская область,3,5,7,8,7,89,9
г. Алматы,3,5,7,8,8,9,8
Туркестанская область,3,5,7,8,10,89,4
Карагандинская область,3,5,7,9,6,9,7
Туркестанская область,3,5,7,9,10,1,4
Западно - Казахстанская область,3,5,7,10,7,8,4
Жетісу область,3,5,7,10,7,10,9
Мангистауская область,3,5,7,10,10,89,7
Атырауская область,3,5,8,6,6,5,7
Восточно-Казахстанская область,3,5,8,6,6,6,89
Северо-Казахстанская область,3,5,8,6,6,9,5
г. Астана,3,5,8,6,6,10,5
Кызылординская область,3,5,8,6,6,89,89
Карагандинская область,3,5,8,6,7,89,5
Туркестанская область,3,5,8,6,9,8,6
Акмолинская область,3,5,8,7,7,6,5
Павлодарская область,3,5,8,7,7,89,6
Карагандинская область,3,5,8,7,9,8,5
Павлодарская область,3,5,8,7,10,7,5
Западно - Казахстанская область,3,5,8,7,10,7,6
Алматинская область,3,5,8,7,10,89,6
г. Астана,3,5,8,8,5,10,6
Восточно-Казахстанская область,3,5,8,8,8,8,8
Карагандинская область,3,5,8,8,9,9,4
г. Шымкент,3,5,8,8,9,9,10
Туркестанская область,3,5,8,9,7,7,7
г. Алматы,3,5,8,9,7,89,9
г. Астана,3,5,8,9,8,8,8
г. Алматы,3,5,8,9,8,8,10
Западно - Казахстанская область,3,5,8,9,9,89,8
Восточно-Казахстанская область,3,5,8,10,7,9,8
Абайская область,3,5,8,10,7,89,6
Кызылординская область,3,5,8,10,9,10,4
Павлодарская область,3,5,9,6,5,89,10
Мангистауская область,3,5,9,9,10,10,89
Карагандинская область,3,5,9,10,8,9,10
Атырауская область,3,5,9,10,9,10,10
Жамбылская область,3,5,9,10,10,5,10
Акмолинская область,3,5,9,10,10,9,9
Актюбинская область,3,5,10,4,5,10,4
Актюбинская область,3,5,10,5,10,3,7
г. Астана,3,5,10,5,10,10,4
Ұлытау область,3,5,10,5,10,10,4
Павлодарская область,3,5,10,6,7,6,89
Акмолинская область,3,5,10,6,7,8,6
Алматинская область,3,5,10,7,6,8,6
Алматинская область,3,5,10,7,9,6,4
г. Астана,3,5,10,7,9,7,8
Восточно-Казахстанская область,3,5,10,8,7,8,10
Алматинская область,3,5,10,8,8,89,9
Карагандинская область,3,5,10,8,9,9,7
г. Алматы,3,5,10,9,6,3,5
Костанайская область,3,5,10,9,7,7,7
Западно - Казахстанская область,3,5,10,9,7,89,5
Восточно-Казахстанская область,3,5,10,9,8,8,89
Северо-Казахстанская область,3,5,10,9,8,9,8
Алматинская область,3,5,10,9,8,10,5
г. Алматы,3,5,10,10,4,7,4
г. Астана,3,5,10,10,7,9,5
Северо-Казахстанская область,3,5,10,10,10,4,5
Карагандинская область,3,6,1,6,10,6,6
Жамбылская область,3,6,1,10,10,4,89
г. Шымкент,3,6,2,7,7,3,10
Атырауская область,3,6,2,7,7,8,5
г. Астана,3,6,3,7,8,5,4
г. Астана,3,6,3,7,8,7,6
Карагандинская область,3,6,4,5,7,7,8
Западно - Казахстанская область,3,6,4,6,7,5,5
