AgeGroup,Health,Housing Quality,Leisure Time,Life,Living Condition,Professional Wellbeing,Financial Situation
15–17,1,8,9,9,8,89,10
49–57,1,8,9,9,9,7,8
58 и старше,1,8,10,4,8,89,7
58 и старше,1,8,10,6,3,5,7
39–48,1,8,10,8,7,8,5
29–38,1,8,10,9,8,8,7
29–38,1,8,10,9,10,89,4
49–57,1,8,89,5,9,8,8
29–38,1,9,2,10,5,5,8
18–28,1,9,3,5,10,10,9
58 и старше,1,9,4,10,10,10,5
39–48,1,9,5,5,7,89,7
58 и старше,1,9,5,7,7,6,7
58 и старше,1,9,5,7,7,10,9
15–17,1,9,5,7,7,89,4
58 и старше,1,9,5,7,8,8,7
18–28,1,9,6,7,7,10,8
58 и старше,1,9,6,7,10,8,5
29–38,1,9,6,10,8,10,10
18–28,1,9,6,10,9,8,8
49–57,1,9,7,4,9,10,5
58 и старше,1,9,7,8,9,10,7
29–38,1,9,8,4,10,10,4
58 и старше,1,9,8,5,10,8,4
39–48,1,9,8,6,7,8,8
29–38,1,9,8,6,7,89,4
58 и старше,1,9,8,8,8,8,5
15–17,1,9,8,9,6,7,8
58 и старше,1,9,8,9,8,5,7
18–28,1,9,8,10,5,5,4
39–48,1,9,8,10,7,89,8
58 и старше,1,9,9,4,7,89,4
18–28,1,9,9,5,7,7,8
49–57,1,9,10,5,9,9,5
49–57,1,9,10,7,9,7,7
29–38,1,9,10,7,9,89,8
49–57,1,9,10,9,10,10,89
39–48,1,9,10,10,4,10,10
29–38,1,9,10,10,7,6,10
29–38,1,9,10,10,9,9,6
39–48,1,9,10,10,10,2,2
49–57,1,9,89,6,10,5,4
29–38,1,10,1,10,10,10,4
39–48,1,10,4,7,10,9,7
39–48,1,10,5,8,8,9,9
29–38,1,10,5,8,8,89,6
18–28,1,10,5,8,10,8,8
49–57,1,10,5,9,3,8,9
18–28,1,10,6,10,10,7,5
29–38,1,10,7,3,10,3,2
58 и старше,1,10,7,6,8,8,7
49–57,1,10,7,7,9,7,7
39–48,1,10,7,8,8,8,7
58 и старше,1,10,7,10,10,8,9
58 и старше,1,10,8,7,8,7,6
49–57,1,10,8,7,9,10,6
29–38,1,10,8,8,7,9,9
29–38,1,10,8,9,8,9,6
18–28,1,10,8,10,10,9,10
49–57,1,10,9,6,8,9,8
39–48,1,10,9,7,5,6,8
58 и старше,1,10,9,10,7,8,8
58 и старше,1,10,10,3,10,4,9
58 и старше,1,10,10,8,8,9,7
29–38,1,10,10,89,10,4,89
58 и старше,1,10,89,10,10,10,10
58 и старше,1,89,8,6,9,9,7
15–17,2,1,7,7,4,8,4
39–48,2,3,6,89,9,10,4
18–28,2,3,7,10,3,9,10
58 и старше,2,3,8,6,10,7,9
49–57,2,3,8,8,7,10,7
58 и старше,2,3,8,8,8,5,7
29–38,2,3,9,9,9,89,5
18–28,2,3,9,10,10,10,7
58 и старше,2,3,10,8,9,3,5
29–38,2,3,10,9,8,89,7
49–57,2,3,10,10,2,1,89
29–38,2,4,5,4,10,3,1
39–48,2,4,6,7,10,10,7
18–28,2,4,8,7,8,9,6
49–57,2,4,9,5,9,7,8
58 и старше,2,4,9,7,9,5,7
49–57,2,4,9,7,10,6,7
58 и старше,2,4,9,8,7,8,5
29–38,2,4,10,6,9,89,7
49–57,2,5,5,10,4,8,7
29–38,2,5,5,10,10,9,6
15–17,2,5,6,9,8,9,5
18–28,2,5,6,10,6,8,7
49–57,2,5,7,8,3,6,6
49–57,2,5,8,5,5,7,7
29–38,2,5,8,7,9,5,7
39–48,2,5,9,7,8,5,6
39–48,2,5,9,9,9,2,4
49–57,2,5,10,4,6,6,5
39–48,2,5,10,10,5,9,9
29–38,2,5,10,10,7,89,8
29–38,2,6,4,4,7,6,89
39–48,2,6,4,9,4,9,4
18–28,2,6,5,4,7,89,6
29–38,2,6,5,7,9,10,5
15–17,2,6,6,6,6,89,5
15–17,2,6,6,6,9,3,1
39–48,2,6,6,10,9,9,9
58 и старше,2,6,7,6,10,7,6
58 и старше,2,6,7,8,9,8,5
58 и старше,2,6,7,9,8,89,7
18–28,2,6,7,10,7,4,8
49–57,2,6,7,10,10,5,5
39–48,2,6,8,6,8,7,6
58 и старше,2,6,8,7,4,8,5
15–17,2,6,8,7,8,89,9
49–57,2,6,8,8,7,89,8
18–28,2,6,8,8,8,10,7
49–57,2,6,8,8,10,7,89
58 и старше,2,6,9,8,8,89,8
39–48,2,6,10,7,8,7,6
58 и старше,2,6,10,8,8,10,9
39–48,2,6,10,10,9,10,4
39–48,2,6,89,7,10,8,10
15–17,2,7,3,8,7,8,5
58 и старше,2,7,4,7,6,89,5
58 и старше,2,7,4,7,10,89,7
39–48,2,7,5,4,6,10,4
58 и старше,2,7,5,7,8,89,7
58 и старше,2,7,5,9,8,8,6
49–57,2,7,6,4,10,10,10
39–48,2,7,6,5,8,8,89
29–38,2,7,6,10,6,89,6
18–28,2,7,7,6,9,89,10
18–28,2,7,7,7,9,89,10
18–28,2,7,7,9,8,8,8
39–48,2,7,8,7,5,5,6
29–38,2,7,8,7,8,89,9
49–57,2,7,8,7,10,7,10
29–38,2,7,8,8,5,8,7
58 и старше,2,7,8,8,7,9,10
49–57,2,7,8,9,9,10,9
15–17,2,7,9,5,6,6,4
39–48,2,7,9,7,7,8,7
39–48,2,7,9,8,8,8,8
39–48,2,7,9,8,9,10,8
58 и старше,2,7,9,9,7,7,6
18–28,2,7,10,6,6,7,89
18–28,2,7,10,6,9,6,5
49–57,2,7,10,7,7,6,7
18–28,2,7,10,7,8,9,8
58 и старше,2,7,10,7,8,10,6
15–17,2,7,10,8,8,10,10
15–17,2,7,10,8,8,89,8
58 и старше,2,7,10,9,10,5,10
29–38,2,7,10,10,6,7,8
18–28,2,7,10,10,8,8,9
15–17,2,7,10,10,9,4,8
58 и старше,2,7,89,10,7,89,7
39–48,2,8,1,6,7,10,7
58 и старше,2,8,1,7,9,7,5
58 и старше,2,8,1,8,8,7,8
18–28,2,8,3,6,4,89,5
15–17,2,8,4,5,10,8,5
29–38,2,8,4,6,5,8,7
58 и старше,2,8,4,8,7,8,6
29–38,2,8,4,8,8,89,8
39–48,2,8,4,9,8,10,8
58 и старше,2,8,5,6,6,6,6
58 и старше,2,8,5,7,6,6,6
58 и старше,2,8,5,8,8,10,6
29–38,2,8,5,10,7,8,10
39–48,2,8,6,4,6,6,5
58 и старше,2,8,6,7,7,4,4
58 и старше,2,8,6,7,7,8,5
49–57,2,8,6,7,7,89,8
58 и старше,2,8,6,7,8,8,7
58 и старше,2,8,6,7,10,9,5
58 и старше,2,8,6,8,8,4,8
18–28,2,8,6,8,9,8,4
29–38,2,8,6,10,8,8,8
15–17,2,8,6,10,8,9,7
29–38,2,8,6,10,10,9,7
39–48,2,8,7,4,4,89,4
15–17,2,8,7,4,9,10,10
39–48,2,8,7,6,7,7,5
18–28,2,8,7,7,5,8,7
39–48,2,8,7,7,9,8,8
58 и старше,2,8,7,8,9,8,8
18–28,2,8,7,8,9,10,5
58 и старше,2,8,7,9,7,8,7
58 и старше,2,8,7,10,8,9,7
29–38,2,8,8,5,7,89,89
58 и старше,2,8,8,5,8,8,7
39–48,2,8,8,6,7,7,5
58 и старше,2,8,8,7,5,9,7
18–28,2,8,8,7,5,89,7
58 и старше,2,8,8,7,8,8,6
49–57,2,8,8,7,8,9,7
29–38,2,8,8,7,8,10,9
18–28,2,8,8,7,9,7,6
58 и старше,2,8,8,7,9,7,9
15–17,2,8,8,7,9,89,7
39–48,2,8,8,7,9,89,7
58 и старше,2,8,8,8,3,7,9
18–28,2,8,8,8,5,10,9
39–48,2,8,8,8,7,7,6
15–17,2,8,8,8,8,8,5
15–17,2,8,8,8,8,9,10
29–38,2,8,8,8,9,7,7
18–28,2,8,8,9,8,8,8
29–38,2,8,8,9,8,9,5
49–57,2,8,8,9,8,10,10
18–28,2,8,8,9,10,89,7
49–57,2,8,8,10,4,8,8
15–17,2,8,8,10,5,7,6
39–48,2,8,8,10,6,10,6
58 и старше,2,8,8,10,8,10,8
58 и старше,2,8,9,6,5,89,5
18–28,2,8,9,6,9,10,10
39–48,2,8,9,7,10,89,5
29–38,2,8,9,8,5,9,8
58 и старше,2,8,9,9,8,10,7
58 и старше,2,8,10,5,7,5,4
18–28,2,8,10,7,8,9,8
49–57,2,8,10,7,10,10,8
58 и старше,2,8,10,8,9,8,7
29–38,2,8,10,9,8,10,10
58 и старше,2,8,10,10,6,5,6
29–38,2,8,89,4,8,7,4
39–48,2,9,3,4,8,10,9
39–48,2,9,5,5,10,89,5
18–28,2,9,5,6,9,9,5
58 и старше,2,9,5,8,5,4,7
29–38,2,9,5,8,6,8,89
39–48,2,9,5,9,9,10,8
58 и старше,2,9,5,9,9,89,4
58 и старше,2,9,6,9,9,89,4
58 и старше,2,9,7,4,9,8,7
29–38,2,9,7,6,7,89,9
29–38,2,9,7,6,8,89,9
49–57,2,9,7,7,9,89,7
39–48,2,9,7,8,7,8,9
39–48,2,9,7,9,9,5,4
49–57,2,9,7,9,10,10,7
58 и старше,2,9,8,5,9,89,5
39–48,2,9,8,7,7,8,7
18–28,2,9,8,7,9,9,8
49–57,2,9,8,9,7,6,6
49–57,2,9,8,10,8,8,9
29–38,2,9,9,6,10,89,7
58 и старше,2,9,9,7,8,6,7
39–48,2,9,9,10,10,6,4
58 и старше,2,9,10,6,8,8,8
29–38,2,9,10,6,9,4,5
39–48,2,9,10,7,9,10,9
29–38,2,9,10,9,10,4,5
29–38,2,9,89,8,8,10,9
18–28,2,10,4,6,10,8,8
49–57,2,10,4,9,1,89,9
39–48,2,10,4,9,8,9,7
49–57,2,10,5,4,10,4,10
58 и старше,2,10,5,7,6,9,4
58 и старше,2,10,5,10,8,6,7
29–38,2,10,6,10,9,8,4
15–17,2,10,7,7,8,5,6
58 и старше,2,10,7,8,8,5,8
18–28,2,10,7,8,8,7,8
49–57,2,10,7,8,8,8,7
58 и старше,2,10,7,9,6,10,9
39–48,2,10,7,9,8,9,7
39–48,2,10,7,9,10,3,9
18–28,2,10,7,10,10,3,10
15–17,2,10,8,7,7,7,6
58 и старше,2,10,8,8,10,8,6
49–57,2,10,8,9,9,8,8
29–38,2,10,8,10,8,8,5
29–38,2,10,8,10,9,8,6
18–28,2,10,8,10,9,8,89
18–28,2,10,9,8,9,9,8
49–57,2,10,9,9,9,7,8
39–48,2,10,9,10,8,10,5
58 и старше,2,10,10,8,7,9,8
58 и старше,2,10,10,10,4,7,7
58 и старше,2,10,10,10,10,8,9
49–57,2,89,4,5,9,9,9
18–28,2,89,7,6,9,10,89
39–48,2,89,8,9,8,7,4
58 и старше,2,89,9,9,9,5,7
58 и старше,3,1,5,5,3,10,3
58 и старше,3,1,5,10,9,10,7
29–38,3,1,8,6,6,10,10
39–48,3,1,8,7,10,8,8
49–57,3,1,10,3,10,10,4
58 и старше,3,1,10,7,7,10,7
39–48,3,2,3,9,7,89,8
18–28,3,2,4,10,89,4,6
58 и старше,3,2,5,10,10,4,4
39–48,3,2,7,8,9,6,6
18–28,3,2,8,9,9,8,6
49–57,3,2,9,10,9,6,10
58 и старше,3,3,5,6,8,8,7
58 и старше,3,3,5,7,4,10,5
58 и старше,3,3,5,10,10,10,10
58 и старше,3,3,6,6,7,7,7
29–38,3,3,6,6,9,8,8
49–57,3,3,7,6,7,10,8
39–48,3,3,7,8,5,8,8
18–28,3,3,7,9,89,8,8
58 и старше,3,3,7,10,9,10,89
58 и старше,3,3,7,10,10,10,9
58 и старше,3,3,8,5,6,5,5
18–28,3,3,8,5,9,89,8
58 и старше,3,3,8,6,6,8,6
29–38,3,3,8,7,4,8,7
49–57,3,3,8,7,6,8,5
58 и старше,3,3,8,7,8,6,9
18–28,3,3,8,7,8,9,7
18–28,3,3,8,7,9,89,5
58 и старше,3,3,8,9,7,7,7
39–48,3,3,9,4,3,3,89
58 и старше,3,3,9,7,7,8,5
39–48,3,3,9,8,1,5,4
39–48,3,3,9,9,5,6,8
49–57,3,3,10,4,5,10,4
39–48,3,3,10,4,9,89,6
18–28,3,3,10,6,5,89,4
58 и старше,3,3,10,10,10,4,7
18–28,3,3,89,8,8,6,5
58 и старше,3,3,89,10,7,10,5
29–38,3,4,2,10,10,10,10
49–57,3,4,3,5,7,89,5
39–48,3,4,4,5,7,6,1
29–38,3,4,4,6,6,4,5
58 и старше,3,4,4,6,10,9,7
29–38,3,4,4,7,9,9,4
39–48,3,4,4,8,8,8,8
29–38,3,4,4,10,5,10,89
49–57,3,4,5,5,4,10,8
18–28,3,4,5,6,7,8,7
18–28,3,4,5,7,6,8,89
29–38,3,4,5,7,7,8,6
58 и старше,3,4,5,9,10,8,6
29–38,3,4,5,10,7,5,9
58 и старше,3,4,6,7,6,7,89
39–48,3,4,6,8,8,8,5
29–38,3,4,6,10,9,8,6
39–48,3,4,6,10,9,89,8
29–38,3,4,6,10,10,4,9
49–57,3,4,7,4,9,10,4
29–38,3,4,7,5,6,6,5
39–48,3,4,7,5,6,7,5
58 и старше,3,4,7,6,5,7,7
58 и старше,3,4,7,7,6,8,8
29–38,3,4,7,7,7,7,7
29–38,3,4,7,7,7,8,7
39–48,3,4,7,7,7,89,7
39–48,3,4,7,7,10,10,4
39–48,3,4,7,8,7,9,7
58 и старше,3,4,7,8,8,8,6
58 и старше,3,4,7,8,10,8,4
58 и старше,3,4,7,10,5,7,7
29–38,3,4,7,10,6,89,6
39–48,3,4,8,5,4,89,89
18–28,3,4,8,5,6,10,5
29–38,3,4,8,7,5,8,7
18–28,3,4,8,7,9,9,6
58 и старше,3,4,8,8,8,8,8
39–48,3,4,8,9,6,6,4
58 и старше,3,4,8,10,6,8,4
39–48,3,4,8,10,8,8,10
58 и старше,3,4,9,4,9,89,7
49–57,3,4,9,5,8,6,4
15–17,3,4,9,6,10,10,2
39–48,3,4,9,8,7,89,9
58 и старше,3,4,9,8,8,8,9
29–38,3,4,9,9,8,5,7
58 и старше,3,4,9,9,8,10,4
58 и старше,3,4,9,10,9,7,6
49–57,3,4,9,10,9,8,8
29–38,3,4,10,5,10,5,5
49–57,3,4,10,5,10,10,4
29–38,3,4,10,6,5,8,7
49–57,3,4,10,7,6,4,7
29–38,3,4,10,7,7,9,6
49–57,3,4,10,8,5,6,7
29–38,3,4,10,8,7,8,6
29–38,3,4,10,9,3,10,10
39–48,3,4,10,9,6,6,4
58 и старше,3,4,10,9,9,10,89
39–48,3,4,10,9,9,89,8
29–38,3,4,10,10,5,6,9
39–48,3,4,10,10,8,1,4
18–28,3,4,10,10,10,10,7
39–48,3,4,89,7,10,10,4
58 и старше,3,4,89,9,10,5,89
18–28,3,5,1,6,9,89,89
29–38,3,5,1,7,9,9,7
49–57,3,5,3,9,3,9,6
39–48,3,5,4,5,4,6,7
58 и старше,3,5,4,6,8,7,5
29–38,3,5,4,8,7,10,4
39–48,3,5,4,8,8,6,5
49–57,3,5,4,9,9,7,5
58 и старше,3,5,4,9,9,89,5
58 и старше,3,5,4,9,9,89,7
39–48,3,5,4,10,9,10,4
39–48,3,5,5,6,7,8,6
29–38,3,5,5,7,5,4,9
29–38,3,5,5,7,7,9,7
15–17,3,5,5,9,5,5,4
58 и старше,3,5,5,9,6,89,7
58 и старше,3,5,5,9,7,7,7
18–28,3,5,5,10,6,5,6
18–28,3,5,5,10,7,9,9
58 и старше,3,5,5,89,10,10,5
58 и старше,3,5,6,5,8,8,7
15–17,3,5,6,6,8,5,4
49–57,3,5,6,6,8,5,5
49–57,3,5,6,6,9,8,9
29–38,3,5,6,6,10,9,10
49–57,3,5,6,7,7,89,10
58 и старше,3,5,6,7,9,9,9
49–57,3,5,6,8,8,7,6
58 и старше,3,5,6,8,8,10,7
18–28,3,5,6,9,5,89,5
18–28,3,5,6,9,9,5,5
49–57,3,5,6,9,9,7,7
18–28,3,5,6,9,9,8,8
58 и старше,3,5,6,10,3,10,10
58 и старше,3,5,6,10,5,7,6
29–38,3,5,6,10,5,7,7
39–48,3,5,6,10,7,7,6
49–57,3,5,7,3,10,5,3
39–48,3,5,7,5,5,10,7
18–28,3,5,7,5,7,6,6
18–28,3,5,7,6,9,8,10
29–38,3,5,7,7,5,8,7
18–28,3,5,7,7,8,10,9
58 и старше,3,5,7,8,3,8,4
49–57,3,5,7,8,6,5,6
39–48,3,5,7,8,7,89,9
58 и старше,3,5,7,8,8,9,8
58 и старше,3,5,7,8,10,89,4
58 и старше,3,5,7,9,6,9,7
29–38,3,5,7,9,10,1,4
49–57,3,5,7,10,7,8,4
18–28,3,5,7,10,7,10,9
58 и старше,3,5,7,10,10,89,7
39–48,3,5,8,6,6,5,7
29–38,3,5,8,6,6,6,89
29–38,3,5,8,6,6,9,5
49–57,3,5,8,6,6,10,5
58 и старше,3,5,8,6,6,89,89
29–38,3,5,8,6,7,89,5
58 и старше,3,5,8,6,9,8,6
58 и старше,3,5,8,7,7,6,5
39–48,3,5,8,7,7,89,6
29–38,3,5,8,7,9,8,5
58 и старше,3,5,8,7,10,7,5
58 и старше,3,5,8,7,10,7,6
39–48,3,5,8,7,10,89,6
15–17,3,5,8,8,5,10,6
29–38,3,5,8,8,8,8,8
58 и старше,3,5,8,8,9,9,4
39–48,3,5,8,8,9,9,10
49–57,3,5,8,9,7,7,7
15–17,3,5,8,9,7,89,9
49–57,3,5,8,9,8,8,8
58 и старше,3,5,8,9,8,8,10
15–17,3,5,8,9,9,89,8
39–48,3,5,8,10,7,9,8
58 и старше,3,5,8,10,7,89,6
58 и старше,3,5,8,10,9,10,4
49–57,3,5,9,6,5,89,10
18–28,3,5,9,9,10,10,89
39–48,3,5,9,10,8,9,10
49–57,3,5,9,10,9,10,10
39–48,3,5,9,10,10,5,10
39–48,3,5,9,10,10,9,9
39–48,3,5,10,4,5,10,4
29–38,3,5,10,5,10,3,7
29–38,3,5,10,5,10,10,4
58 и старше,3,5,10,5,10,10,4
18–28,3,5,10,6,7,6,89
39–48,3,5,10,6,7,8,6
39–48,3,5,10,7,6,8,6
58 и старше,3,5,10,7,9,6,4
39–48,3,5,10,7,9,7,8
18–28,3,5,10,8,7,8,10
29–38,3,5,10,8,8,89,9
58 и старше,3,5,10,8,9,9,7
29–38,3,5,10,9,6,3,5
15–17,3,5,10,9,7,7,7
58 и старше,3,5,10,9,7,89,5
49–57,3,5,10,9,8,8,89
18–28,3,5,10,9,8,9,8
39–48,3,5,10,9,8,10,5
49–57,3,5,10,10,4,7,4
18–28,3,5,10,10,7,9,5
49–57,3,5,10,10,10,4,5
49–57,3,6,1,6,10,6,6
18–28,3,6,1,10,10,4,89
29–38,3,6,2,7,7,3,10
58 и старше,3,6,2,7,7,8,5
18–28,3,6,3,7,8,5,4
58 и старше,3,6,3,7,8,7,6
29–38,3,6,4,5,7,7,8
29–38,3,6,4,6,7,5,5
18–28,3,6,4,6,7,6,5
29–38,3,6,4,6,7,7,4
49–57,3,6,4,6,9,10,1
58 и старше,3,6,4,7,8,8,6
18–28,3,6,4,7,9,7,5
39–48,3,6,4,8,6,8,8
49–57,3,6,4,8,8,7,9
39–48,3,6,4,8,8,89,6
58 и старше,3,6,4,9,3,8,9
58 и старше,3,6,4,9,9,9,10
18–28,3,6,4,9,10,6,5
18–28,3,6,4,10,10,10,5
58 и старше,3,6,5,4,6,8,6
18–28,3,6,5,4,7,6,89
49–57,3,6,5,4,89,4,5
39–48,3,6,5,5,7,7,6
29–38,3,6,5,5,8,8,5
39–48,3,6,5,6,6,6,3
58 и старше,3,6,5,6,9,89,4
29–38,3,6,5,7,7,7,89
29–38,3,6,5,7,7,9,7
18–28,3,6,5,7,7,9,8
15–17,3,6,5,7,7,10,5
49–57,3,6,5,7,9,7,7
58 и старше,3,6,5,7,9,7,8
58 и старше,3,6,5,7,9,89,7
49–57,3,6,5,9,9,8,9
29–38,3,6,5,10,9,89,6
39–48,3,6,6,5,7,8,4
18–28,3,6,6,5,10,89,9
58 и старше,3,6,6,6,3,5,89
49–57,3,6,6,6,7,7,7
39–48,3,6,6,7,7,10,6
58 и старше,3,6,6,7,8,7,9
29–38,3,6,6,7,8,9,9
39–48,3,6,6,7,8,10,6
29–38,3,6,6,7,8,89,7
49–57,3,6,6,7,9,8,7
49–57,3,6,6,8,7,6,10
18–28,3,6,6,8,8,6,6
29–38,3,6,6,8,8,6,89
29–38,3,6,6,8,8,10,9
58 и старше,3,6,6,10,7,8,6
58 и старше,3,6,6,10,7,10,5
39–48,3,6,6,10,8,7,7
15–17,3,6,6,10,9,6,4
18–28,3,6,7,3,89,89,5
18–28,3,6,7,4,7,8,6
58 и старше,3,6,7,4,10,10,4
39–48,3,6,7,5,6,9,7
15–17,3,6,7,5,7,4,7
58 и старше,3,6,7,5,9,10,4
18–28,3,6,7,6,5,89,1
49–57,3,6,7,6,7,9,9
58 и старше,3,6,7,6,9,8,6
29–38,3,6,7,6,10,5,7
29–38,3,6,7,7,8,8,7
58 и старше,3,6,7,7,8,89,10
58 и старше,3,6,7,7,9,7,10
29–38,3,6,7,7,9,8,5
29–38,3,6,7,7,10,8,6
49–57,3,6,7,8,8,7,10
18–28,3,6,7,8,8,8,5
15–17,3,6,7,8,8,10,6
15–17,3,6,7,8,8,89,7
58 и старше,3,6,7,8,8,89,8
58 и старше,3,6,7,8,10,6,7
18–28,3,6,7,9,3,8,10
58 и старше,3,6,7,9,6,6,7
29–38,3,6,7,9,7,9,5
39–48,3,6,7,9,8,8,8
49–57,3,6,7,9,8,8,9
49–57,3,6,7,9,8,10,7
58 и старше,3,6,7,9,8,89,7
29–38,3,6,7,9,9,10,7
18–28,3,6,7,9,9,10,10
18–28,3,6,7,10,6,89,6
58 и старше,3,6,7,10,8,7,7
49–57,3,6,7,10,9,10,4
49–57,3,6,7,10,10,7,5
29–38,3,6,8,4,7,7,7
29–38,3,6,8,5,8,8,6
49–57,3,6,8,5,10,9,9
58 и старше,3,6,8,6,4,5,5
58 и старше,3,6,8,6,7,8,5
58 и старше,3,6,8,6,8,7,8
58 и старше,3,6,8,6,9,6,9
49–57,3,6,8,7,5,6,9
58 и старше,3,6,8,7,6,9,5
29–38,3,6,8,7,8,9,5
39–48,3,6,8,7,9,89,7
29–38,3,6,8,8,5,6,5
49–57,3,6,8,8,6,6,9
58 и старше,3,6,8,8,6,8,5
18–28,3,6,8,8,6,9,7
39–48,3,6,8,8,7,8,6
29–38,3,6,8,8,7,8,9
58 и старше,3,6,8,8,7,89,4
58 и старше,3,6,8,8,8,8,8
49–57,3,6,8,8,8,10,6
15–17,3,6,8,8,8,89,6
49–57,3,6,8,8,8,89,8
29–38,3,6,8,8,9,5,5
29–38,3,6,8,8,9,10,4
49–57,3,6,8,9,3,5,7
58 и старше,3,6,8,9,3,9,8
29–38,3,6,8,9,5,8,9
39–48,3,6,8,9,8,5,8
29–38,3,6,8,9,8,8,9
49–57,3,6,8,9,8,8,9
58 и старше,3,6,8,10,5,8,8
29–38,3,6,8,10,6,8,5
29–38,3,6,8,10,7,8,2
39–48,3,6,8,10,7,89,10
58 и старше,3,6,8,10,9,5,10
39–48,3,6,8,10,9,9,3
18–28,3,6,8,10,10,89,89
49–57,3,6,9,6,6,10,89
29–38,3,6,9,6,7,10,6
58 и старше,3,6,9,7,7,5,8
18–28,3,6,9,7,7,8,7
58 и старше,3,6,9,7,7,89,7
18–28,3,6,9,7,8,8,4
15–17,3,6,9,7,8,8,7
49–57,3,6,9,7,9,6,6
58 и старше,3,6,9,7,9,89,8
39–48,3,6,9,8,8,8,6
